Date,Change_WTI,Change_Brent,Change_Dubai
2000-01-02,2.1,1.62,
2000-01-03,4.4,3.45,
2000-01-05,0.51,,
2000-01-06,3.9,3.11,
2000-01-08,1.31,0.78,
2000-01-09,0.79,0.41,
2000-01-11,1.68,1.79,
2000-01-12,-5.32,-5.36,
2000-01-13,1.56,0.69,
2000-01-14,4.98,1.96,
2000-01-17,,0.71,
2000-01-18,2.96,1.56,
2000-01-19,2.39,-0.81,
2000-01-20,0.41,1.01,
2000-01-21,-4.92,0.96,
2000-01-24,-1.31,-1.1,
2000-01-25,1.62,1.84,
2000-01-26,-1.56,-1.54,
2000-01-27,-1.87,-1.95,
2000-01-28,-0.37,0.23,
2000-01-31,1.54,1.13,
2000-02-02,-2.37,-1.74,
2000-02-03,-0.25,0.55,
2000-02-05,3.94,4.98,
2000-02-06,0.7,-0.48,
2000-02-08,1.69,1.66,
2000-02-10,4.35,4.16,
2000-02-11,-2.14,-1.69,
2000-02-14,2.75,3.38,
2000-02-15,-0.63,-5.67,
2000-02-16,-0.03,0.88,
2000-02-17,-1.96,-2.56,
2000-02-18,0.17,-1.69,
2000-02-21,,-1.11,
2000-02-22,0.37,2.51,
2000-02-23,-0.78,1.81,
2000-02-24,1.97,1.15,
2000-02-25,1.27,0.4,
2000-02-28,-0.72,-0.25,
2000-02-29,1.0,2.48,
2000-03-02,1.74,2.82,
2000-03-03,-0.57,-0.79,
2000-03-04,-1.75,-1.05,
2000-03-05,-0.52,-0.32,
2000-03-07,,1.73,
2000-03-08,1.42,2.61,
2000-03-10,-0.34,-0.1,
2000-03-11,0.52,0.23,
2000-03-13,0.82,-0.17,
2000-03-14,-1.03,-1.9,
2000-03-15,-3.06,-2.86,
2000-03-16,1.2,-0.44,
2000-03-17,-0.58,-3.1,
2000-03-20,-4.79,-5.08,
2000-03-21,-4.86,2.02,
2000-03-22,-1.93,-1.24,
2000-03-23,-0.55,0.31,
2000-03-24,2.6,1.69,
2000-03-27,-0.82,-0.89,
2000-03-28,-2.52,-0.66,
2000-03-29,-2.36,-4.35,
2000-03-30,0.95,0.94,
2000-03-31,0.75,0.57,
2000-04-01,-0.2,-2.75,
2000-04-02,2.82,1.54,
2000-04-04,-3.71,-3.51,
2000-04-05,0.86,0.6,
2000-04-07,,-4.89,
2000-04-08,4.54,3.74,
2000-04-09,,3.11,
2000-04-10,-2.0,-1.71,
2000-04-12,-2.5,-2.75,
2000-04-13,-0.12,-1.99,
2000-04-14,0.75,-1.1,
2000-04-17,1.25,1.47,
2000-04-18,0.85,1.36,
2000-04-19,4.75,3.12,
2000-04-20,-5.37,0.25,
2000-04-24,0.62,,
2000-04-25,-2.73,-2.1,
2000-04-26,-2.68,-1.5,
2000-04-27,3.12,3.39,
2000-04-28,1.26,0.55,
2000-05-01,-2.5,-2.71,
2000-05-04,1.49,0.42,
2000-05-05,1.15,0.56,
2000-05-06,-2.14,-2.34,
2000-05-07,-5.63,-0.68,
2000-05-09,1.35,0.43,
2000-05-10,-2.86,-2.06,
2000-05-12,-5.41,-5.28,
2000-05-15,1.01,1.0,
2000-05-16,-0.64,1.59,
2000-05-17,-1.38,-3.09,
2000-05-18,3.44,3.69,
2000-05-19,-1.45,-1.14,
2000-05-22,-4.28,-4.06,
2000-05-23,0.59,0.26,
2000-05-24,4.0,4.04,
2000-05-25,1.94,2.03,
2000-05-26,-1.67,0.1,
2000-05-30,1.17,-0.89,
2000-05-31,-4.42,-2.24,
2000-06-01,-0.52,-0.46,
2000-06-03,2.13,2.21,
2000-06-04,-0.54,-1.26,
2000-06-06,0.17,0.78,
2000-06-07,-2.22,0.99,
2000-06-09,3.16,3.94,
2000-06-10,1.08,0.7,
2000-06-11,0.46,1.43,
2000-06-12,1.08,0.79,
2000-06-13,2.58,0.9,
2000-06-14,0.89,-1.49,
2000-06-15,0.3,0.77,
2000-06-16,-1.88,-9.31,
2000-06-19,-1.98,-1.31,
2000-06-20,4.29,3.72,
2000-06-21,-5.08,1.07,
2000-06-22,2.61,2.8,
2000-06-23,0.19,0.8,
2000-06-26,-1.92,-2.11,
2000-06-27,1.36,1.65,
2000-06-28,-0.5,-0.43,
2000-06-29,2.57,2.29,
2000-06-30,-0.67,-0.75,
2000-07-01,-2.26,-2.24,
2000-07-02,-1.28,-0.7,
2000-07-03,6.06,7.66,
2000-07-04,-2.53,-3.71,
2000-07-06,0.67,2.2,
2000-07-07,0.97,0.1,
2000-07-08,-3.5,-2.89,
2000-07-09,1.4,0.79,
2000-07-11,1.64,1.25,
2000-07-12,-1.68,-1.93,
2000-07-13,3.79,1.99,
2000-07-14,-0.22,-1.26,
2000-07-17,-1.82,-4.42,
2000-07-18,3.6,2.66,
2000-07-19,-1.63,-1.5,
2000-07-20,-1.56,-2.11,
2000-07-21,-7.66,-2.65,
2000-07-24,-1.89,-2.18,
2000-07-25,-0.25,0.07,
2000-07-26,-0.5,-0.41,
2000-07-27,0.76,1.19,
2000-07-28,0.57,0.77,
2000-07-31,-2.66,-1.57,
2000-08-02,-1.51,-1.9,
2000-08-03,-8.41,-9.72,
2000-08-05,2.93,3.12,
2000-08-06,-0.57,-0.51,
2000-08-08,0.73,1.33,
2000-08-09,-4.97,-5.12,
2000-08-11,-0.48,-1.14,
2000-08-12,-3.1,-3.31,
2000-08-14,2.97,2.98,
2000-08-15,-0.85,2.22,
2000-08-16,0.41,1.09,
2000-08-17,0.44,-7.29,
2000-08-18,0.16,0.93,
2000-08-21,1.5,0.53,
2000-08-22,-3.85,-2.19,
2000-08-23,2.56,2.54,
2000-08-24,-1.22,-1.11,
2000-08-25,1.26,0.13,
2000-08-28,2.62,,
2000-08-29,-0.4,3.19,
2000-08-30,1.77,1.98,
