Date,Price,Open,High,Low,Vol.,Change %
29-11-24,72.62,72.62,72.62,72.62,,0.03%
27-11-24,72.6,72.6,72.6,72.6,,0.00%
26-11-24,72.6,72.6,72.6,72.6,,0.00%
25-11-24,72.6,72.6,72.6,72.6,,-0.64%
22-11-24,73.07,73.06,73.06,73.06,,0.32%
21-11-24,72.83,72.83,72.83,72.83,,0.67%
20-11-24,72.35,72.35,72.35,72.35,,-0.21%
19-11-24,72.5,72.5,72.5,72.5,,-0.04%
18-11-24,72.53,72.53,72.53,72.53,,1.36%
15-11-24,71.56,71.56,71.56,71.56,,-1.01%
14-11-24,72.28,72.28,72.28,72.28,,0.12%
13-11-24,72.19,72.19,72.19,72.19,,0.39%
12-11-24,71.91,71.91,71.91,71.91,,0.19%
11-11-24,71.77,71.77,71.77,71.77,,-1.75%
08-11-24,73.05,73.05,73.05,73.05,,-1.85%
07-11-24,74.43,74.43,74.43,74.43,,0.79%
06-11-24,73.85,73.85,73.85,73.85,,-0.84%
05-11-24,74.48,74.48,74.48,74.48,,0.57%
04-11-24,74.06,74.06,74.06,74.06,,2.84%
01-11-24,72.01,72.01,72.01,72.01,,-3.91%
31-10-24,74.94,74.94,74.94,74.94,,0.00%
30-10-24,74.94,74.94,74.94,74.94,,0.10%
29-10-24,74.87,74.87,74.87,74.87,,-0.03%
28-10-24,74.89,74.89,74.89,74.89,,-0.76%
25-10-24,75.46,75.46,75.46,75.46,,0.31%
24-10-24,75.23,75.23,75.23,75.23,,-0.06%
23-10-24,75.27,75.27,75.27,75.27,,-0.42%
22-10-24,75.59,75.59,75.59,75.59,,0.61%
21-10-24,75.13,75.13,75.13,75.13,,0.63%
18-10-24,74.66,74.66,74.66,74.66,,-0.69%
17-10-24,75.18,75.18,75.18,75.18,,0.02%
16-10-24,75.16,75.16,75.16,75.16,,-0.12%
15-10-24,75.25,75.25,75.25,75.25,,-2.16%
14-10-24,76.92,76.92,76.92,76.92,,-1.06%
11-10-24,77.74,77.74,77.74,77.74,,-0.29%
10-10-24,77.96,77.96,77.96,77.96,,2.46%
09-10-24,76.09,76.09,76.09,76.09,,-0.40%
08-10-24,76.4,76.4,76.4,76.4,,-3.19%
07-10-24,78.92,78.92,78.92,78.92,,2.80%
04-10-24,76.77,76.77,76.77,76.77,,0.13%
03-10-24,76.67,76.67,76.67,76.67,,4.17%
02-10-24,73.6,73.6,73.6,73.6,,0.55%
01-10-24,73.2,73.2,73.2,73.2,,-0.43%
30-09-24,73.51,73.51,73.51,73.51,,0.09%
27-09-24,73.45,73.45,73.45,73.45,,0.15%
26-09-24,73.34,73.34,73.34,73.34,,-0.28%
25-09-24,73.54,73.55,73.55,73.55,,-0.38%
24-09-24,73.82,73.83,73.83,73.83,,0.42%
23-09-24,73.51,73.52,73.52,73.52,,-0.27%
20-09-24,73.71,73.72,73.72,73.72,,-0.34%
19-09-24,73.97,73.97,73.97,73.97,,0.61%
18-09-24,73.52,73.52,73.52,73.52,,-0.11%
17-09-24,73.6,73.6,73.6,73.6,,0.68%
16-09-24,73.11,73.11,73.11,73.11,,0.64%
13-09-24,72.64,72.64,72.64,72.64,,-0.02%
12-09-24,72.65,72.66,72.66,72.66,,1.02%
11-09-24,71.92,71.92,71.92,71.92,,1.45%
10-09-24,70.89,70.89,70.89,70.89,,-2.46%
09-09-24,72.68,72.68,72.68,72.68,,0.83%
06-09-24,72.08,72.08,72.08,72.08,,-1.45%
05-09-24,73.14,73.14,73.14,73.14,,0.10%
04-09-24,73.07,73.07,73.07,73.07,,-0.71%
03-09-24,73.59,73.59,73.59,73.59,,-5.16%
