Date,Price,Open,High,Low,Vol.,Change %
21-08-19,55.68,56.05,57.13,55.55,704.04K,-1.17%
20-08-19,56.34,56.1,56.6,55.28,47.45K,0.23%
19-08-19,56.21,54.96,56.41,54.84,113.57K,2.44%
16-08-19,54.87,54.74,55.67,54.26,168.35K,0.73%
15-08-19,54.47,54.9,55.33,53.77,527.87K,-1.38%
14-08-19,55.23,56.74,56.85,53.97,718.29K,-3.27%
13-08-19,57.1,54.73,57.47,54.21,783.49K,3.95%
12-08-19,54.93,54.32,55.18,53.54,611.03K,0.79%
09-08-19,54.5,52.88,54.92,52.37,726.39K,3.73%
08-08-19,52.54,52.33,53.06,51.94,724.76K,2.84%
07-08-19,51.09,53.42,53.77,50.52,1.06M,-4.74%
06-08-19,53.63,54.95,55.42,53.29,682.79K,-1.94%
05-08-19,54.69,55.38,55.61,54.22,823.84K,-1.74%
02-08-19,55.66,54.54,56.05,54.15,739.81K,3.17%
01-08-19,53.95,57.85,57.99,53.59,886.75K,-7.90%
31-07-19,58.58,58.34,58.82,57.81,614.00K,0.91%
30-07-19,58.05,57.07,58.47,56.96,547.40K,2.07%
29-07-19,56.87,56.2,57.1,55.81,529.74K,1.19%
26-07-19,56.2,55.93,56.57,55.68,476.79K,0.32%
25-07-19,56.02,55.9,56.99,55.81,559.28K,0.25%
24-07-19,55.88,57.23,57.64,55.33,745.25K,-1.57%
23-07-19,56.77,56.17,57.47,55.74,521.88K,0.98%
22-07-19,56.22,56.22,56.84,55.72,24.30K,1.06%
19-07-19,55.63,55.72,56.36,54.99,105.22K,0.60%
18-07-19,55.3,56.6,57.32,54.72,215.36K,-2.61%
17-07-19,56.78,57.52,58.36,56.21,504.43K,-1.46%
16-07-19,57.62,59.26,60.06,57.07,712.54K,-3.29%
15-07-19,59.58,60.25,60.92,59.2,566.82K,-1.05%
12-07-19,60.21,60.46,60.74,59.93,469.03K,0.02%
11-07-19,60.2,60.44,60.94,60.14,573.02K,-0.38%
10-07-19,60.43,58.4,60.53,58.35,690.66K,4.50%
09-07-19,57.83,57.56,59.1,57.29,551.87K,0.29%
08-07-19,57.66,57.77,58.46,57.3,540.86K,0.26%
05-07-19,57.51,57.38,57.82,56.29,698.02K,1.25%
04-07-19,56.8,57.41,57.57,56.48,,-0.94%
03-07-19,57.34,56.49,57.48,56.04,600.13K,1.94%
02-07-19,56.25,59.14,59.43,56.09,878.94K,-4.81%
01-07-19,59.09,59.27,60.28,58.34,674.89K,1.06%
28-06-19,58.47,59.22,59.8,57.75,556.10K,-1.62%
27-06-19,59.43,59.27,59.73,58.61,531.41K,0.08%
26-06-19,59.38,58.84,59.93,58.65,686.82K,2.68%
25-06-19,57.83,57.74,58.84,57.2,673.14K,-0.12%
24-06-19,57.9,57.72,58.22,56.75,597.16K,0.82%
21-06-19,57.43,57.26,57.98,56.66,676.05K,1.38%
20-06-19,56.65,54.12,57.02,54.11,27.88K,5.38%
19-06-19,53.76,54.09,54.42,53.28,122.84K,-0.26%
18-06-19,53.9,51.95,54.31,51.5,181.64K,3.79%
17-06-19,51.93,52.5,52.74,51.58,397.87K,-1.10%
14-06-19,52.51,52.18,52.98,51.7,574.23K,0.44%
13-06-19,52.28,51.07,53.45,50.92,945.02K,2.23%
12-06-19,51.14,53.04,53.05,50.72,786.11K,-4.00%
11-06-19,53.27,53.43,54.04,52.91,642.94K,0.02%
10-06-19,53.26,54.24,54.84,53.05,687.15K,-1.35%
07-06-19,53.99,53.1,54.32,52.62,828.13K,2.66%
06-06-19,52.59,51.66,53.3,51.17,790.07K,1.76%
05-06-19,51.68,52.86,53.41,50.6,943.19K,-3.37%
04-06-19,53.48,52.89,53.78,52.43,831.63K,0.43%
03-06-19,53.25,53.42,54.63,52.11,984.31K,-0.47%
31-05-19,53.5,56.46,56.61,53.05,1.03M,-5.46%
30-05-19,56.59,59.12,59.7,56.33,842.28K,-3.77%
29-05-19,58.81,59.07,59.14,56.88,1.12M,-0.56%
28-05-19,59.14,58.94,59.57,58.13,1.02M,-0.03%
27-05-19,59.16,58.77,59.26,58.14,,0.66%
26-05-19,58.77,58.94,59,58.67,,0.24%
24-05-19,58.63,58.21,59.1,57.5,758.10K,1.24%
23-05-19,57.91,61.31,61.41,57.33,1.11M,-5.71%
22-05-19,61.42,62.95,63,61.03,766.73K,-2.49%
21-05-19,62.99,63.22,63.6,62.75,28.91K,-0.17%
20-05-19,63.1,62.93,63.81,62.45,131.89K,0.54%
17-05-19,62.76,63.12,63.64,62.52,215.80K,-0.17%
16-05-19,62.87,62.12,63.48,62.08,545.68K,1.37%
15-05-19,62.02,61.37,62.34,60.85,723.00K,0.39%
14-05-19,61.78,60.86,62.11,60.69,751.67K,1.21%
13-05-19,61.04,61.65,63.33,60.64,1.00M,-1.01%
10-05-19,61.66,61.64,62.49,61.42,786.49K,-0.06%
09-05-19,61.7,62.02,62.21,60.92,769.58K,-0.68%
08-05-19,62.12,61.44,62.37,61.07,791.77K,1.17%
07-05-19,61.4,62.17,62.49,60.66,842.81K,-1.37%
06-05-19,62.25,61.43,62.95,60.04,768.81K,0.50%
03-05-19,61.94,61.55,62.52,61.3,646.87K,0.21%
02-05-19,61.81,63.61,63.68,60.95,914.66K,-2.81%
01-05-19,63.6,63.4,63.93,62.77,676.87K,-0.49%
30-04-19,63.91,63.58,64.75,63.3,750.49K,0.65%
29-04-19,63.5,62.95,63.69,62.46,654.08K,0.32%
26-04-19,63.3,65.13,65.18,62.28,1.00M,-2.93%
25-04-19,65.21,65.81,66.28,64.9,603.00K,-1.03%
24-04-19,65.89,66.17,66.43,65.66,678.39K,-0.62%
23-04-19,66.3,65.75,66.6,65.58,700.60K,0.91%
22-04-19,65.7,64,65.92,64,30.14K,2.66%
18-04-19,64,63.75,64.16,63.46,148.24K,0.38%
17-04-19,63.76,64.32,64.61,63.66,235.38K,-0.45%
16-04-19,64.05,63.57,64.37,62.99,547.47K,1.03%
15-04-19,63.4,63.76,63.84,63.03,555.86K,-0.77%
12-04-19,63.89,63.71,64.65,63.66,625.59K,0.49%
11-04-19,63.58,64.48,64.49,63.31,760.50K,-1.59%
10-04-19,64.61,64.22,64.7,64.05,722.22K,0.98%
09-04-19,63.98,64.4,64.79,63.68,790.68K,-0.65%
08-04-19,64.4,63.33,64.48,63.13,895.77K,2.09%
05-04-19,63.08,62.18,63.34,61.82,686.86K,1.58%
04-04-19,62.1,62.5,62.77,61.89,684.97K,-0.58%
03-04-19,62.46,62.64,62.99,62.05,799.67K,-0.19%
02-04-19,62.58,61.81,62.75,61.6,793.23K,1.61%
01-04-19,61.59,60.24,61.8,60.13,670.81K,2.41%
29-03-19,60.14,59.53,60.73,59.41,705.56K,1.42%
28-03-19,59.3,59.4,59.56,58.2,712.21K,-0.19%
27-03-19,59.41,60.03,60.22,58.81,732.15K,-0.88%
26-03-19,59.94,59.12,60.38,59.04,685.99K,1.90%
25-03-19,58.82,58.98,59.35,58.17,705.40K,-0.37%
22-03-19,59.04,59.87,60.07,58.28,738.84K,-1.57%
21-03-19,59.98,59.99,60.39,59.66,655.38K,0.25%
20-03-19,59.83,59.02,60.12,58.39,31.13K,1.36%
19-03-19,59.03,59.01,59.57,58.62,114.82K,-0.10%
18-03-19,59.09,58.45,59.23,58.05,157.24K,0.97%
15-03-19,58.52,58.51,58.95,57.74,507.39K,-0.15%
14-03-19,58.61,58.35,58.74,58,567.60K,0.60%
13-03-19,58.26,57.09,58.48,57.01,610.62K,2.44%
12-03-19,56.87,56.76,57.55,56.74,652.80K,0.14%
11-03-19,56.79,56.07,57.01,55.96,597.16K,1.28%
08-03-19,56.07,56.43,56.51,54.52,747.36K,-1.04%
07-03-19,56.66,56.2,56.99,56.08,628.82K,0.78%
06-03-19,56.22,56.28,56.4,55.42,637.68K,-0.60%
05-03-19,56.56,56.45,57.19,56.09,538.40K,-0.05%
04-03-19,56.59,55.83,57,55.81,549.40K,1.42%
01-03-19,55.8,57.22,57.88,55.57,684.19K,-2.48%
28-02-19,57.22,57,57.43,56.43,496.68K,0.49%
27-02-19,56.94,55.95,57.39,55.72,577.23K,2.59%
26-02-19,55.5,55.46,56.08,55.02,538.92K,0.04%
25-02-19,55.48,57.17,57.53,55.08,723.01K,-3.11%
22-02-19,57.26,56.84,57.81,56.71,513.44K,0.53%
21-02-19,56.96,57.24,57.61,56.64,546.20K,0.07%
20-02-19,56.92,55.94,57.55,55.48,37.68K,1.48%
19-02-19,56.09,55.78,56.33,55.29,153.73K,-0.32%
18-02-19,56.27,56.33,56.73,56.12,,-0.11%
17-02-19,56.33,56.17,56.39,56.11,,1.33%
15-02-19,55.59,54.48,55.87,54.24,276.91K,2.17%
14-02-19,54.41,53.96,54.68,53.08,623.55K,0.95%
13-02-19,53.9,53.35,54.6,53.27,706.55K,1.51%
12-02-19,53.1,52.47,54.05,52.29,708.31K,1.32%
11-02-19,52.41,52.66,52.78,51.23,750.24K,-0.59%
08-02-19,52.72,52.59,52.99,52.08,621.00K,0.15%
07-02-19,52.64,53.94,54.21,51.8,749.01K,-2.54%
06-02-19,54.01,53.73,54.3,52.86,606.72K,0.65%
05-02-19,53.66,54.86,55.21,53.47,609.76K,-1.65%
04-02-19,54.56,55.32,55.75,53.29,622.47K,-1.27%
01-02-19,55.26,54.01,55.66,53.37,689.57K,2.73%
31-01-19,53.79,54.28,55.37,53.62,718.65K,-0.81%
30-01-19,54.23,53.24,54.93,53.09,731.31K,1.73%
29-01-19,53.31,52.12,53.93,51.84,660.53K,2.54%
28-01-19,51.99,53.56,53.64,51.33,650.67K,-3.17%
25-01-19,53.69,53.17,53.94,52.91,593.39K,1.05%
24-01-19,53.13,52.45,53.47,52.07,714.42K,0.97%
23-01-19,52.62,52.95,53.64,51.86,702.87K,0.10%
22-01-19,52.57,53.73,54.24,51.8,46.03K,-3.08%
21-01-19,54.24,53.66,54.48,53.58,,1.10%
20-01-19,53.65,53.97,54.05,53.59,,-0.28%
18-01-19,53.8,52.23,53.92,52.09,193.10K,3.32%
17-01-19,52.07,52.3,52.58,50.98,288.56K,-0.46%
16-01-19,52.31,52,52.52,51.26,694.18K,0.38%
15-01-19,52.11,50.78,52.3,50.64,664.18K,3.17%
14-01-19,50.51,51.73,52.11,50.38,791.53K,-2.09%
11-01-19,51.59,52.28,53.31,51.18,812.34K,-1.90%
10-01-19,52.59,52.18,52.78,51.37,821.78K,0.44%
09-01-19,52.36,49.8,52.58,49.71,891.92K,5.18%
08-01-19,49.78,48.73,49.95,48.31,765.98K,2.60%
07-01-19,48.52,48.3,49.79,48.11,819.94K,1.17%
04-01-19,47.96,46.9,49.22,46.65,817.28K,1.85%
03-01-19,47.09,46.26,47.49,45.35,788.72K,1.18%
02-01-19,46.54,45.8,47.78,44.35,850.48K,1.42%
01-01-19,45.89,45.77,45.95,45.73,,1.06%
31-12-18,45.41,45.22,46.53,44.73,476.97K,0.18%
28-12-18,45.33,45.44,46.22,44.42,564.39K,1.61%
27-12-18,44.61,46.58,46.7,44.37,665.59K,-3.48%
26-12-18,46.22,42.85,47,42.52,698.41K,7.09%
25-12-18,43.16,43,43.25,42.88,,1.48%
24-12-18,42.53,45.45,46.24,42.36,415.86K,-6.71%
21-12-18,45.59,46.25,46.77,45.13,694.00K,-0.63%
20-12-18,45.88,47.39,47.51,45.67,794.13K,-2.80%
19-12-18,47.2,45.93,48,45.93,37.16K,2.08%
18-12-18,46.24,49.16,49.59,45.79,120.10K,-7.30%
17-12-18,49.88,51.25,51.87,49.01,211.26K,-2.58%
14-12-18,51.2,52.83,52.95,50.84,526.84K,-2.62%
13-12-18,52.58,51.2,53.27,50.35,733.63K,2.80%
12-12-18,51.15,51.95,52.88,50.94,730.81K,-0.97%
11-12-18,51.65,50.89,52.43,50.7,665.26K,1.27%
10-12-18,51,52.03,52.81,50.53,733.23K,-3.06%
07-12-18,52.61,51.76,54.22,50.6,987.72K,2.18%
06-12-18,51.49,52.93,53.3,50.08,987.27K,-2.65%
05-12-18,52.89,52.59,54.44,52.16,624.91K,-0.68%
04-12-18,53.25,53.13,54.55,52.43,738.13K,0.57%
03-12-18,52.95,52.45,53.85,52.03,758.01K,3.97%
30-11-18,50.93,51.27,51.79,49.65,796.71K,-1.01%
